title,artist,playlist
MIA,Bad Bunny;Drake,One Dance Radio
"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar;SZA,One Dance Radio
Unforgettable,French Montana;Swae Lee,One Dance Radio
Too Good,Drake;Rihanna,One Dance Radio
Let Me Love You,DJ Snake;Justin Bieber,One Dance Radio
Walk It Talk It,Migos;Drake,One Dance Radio
Cold Water,Major Lazer;Justin Bieber;MØ,One Dance Radio
Time of Our Lives,Pitbull;Ne-Yo,One Dance Radio
In My Feelings,Drake,One Dance Radio
SICKO MODE,Travis Scott,One Dance Radio
LOVE. FEAT. ZACARI.,Kendrick Lamar;Zacari,One Dance Radio
One Kiss (with Dua Lipa),Calvin Harris;Dua Lipa,One Dance Radio
Come and See Me (feat. Drake),PARTYNEXTDOOR;Drake,One Dance Radio
Controlla,Drake,One Dance Radio
rockstar (feat. 21 Savage),Post Malone;21 Savage,One Dance Radio
HIGHEST IN THE ROOM,Travis Scott,One Dance Radio
Closer,The Chainsmokers;Halsey,One Dance Radio
Heartless,Kanye West,One Dance Radio
"Hold On, We're Going Home",Drake;Majid Jordan,One Dance Radio
Recognize (feat. Drake),PARTYNEXTDOOR;Drake,One Dance Radio
Work from Home (feat. Ty Dolla $ign),Fifth Harmony;Ty Dolla $ign,One Dance Radio
BUTTERFLY EFFECT,Travis Scott,One Dance Radio
This Is What You Came For,Calvin Harris;Rihanna,One Dance Radio
Fake Love,Drake,One Dance Radio
Don't,Bryson Tiller,One Dance Radio
No Role Modelz,J. Cole,One Dance Radio
POPSTAR (feat. Drake),DJ Khaled;Drake,One Dance Radio
What Do You Mean?,Justin Bieber,One Dance Radio
Laugh Now Cry Later (feat. Lil Durk),Drake;Lil Durk,One Dance Radio
She Will,Lil Wayne;Drake,One Dance Radio
Joro,Wizkid,One Dance Radio
DIE TRYING,PARTYNEXTDOOR;Drake;Yebba,One Dance Radio
Under The Influence,Chris Brown,One Dance Radio
Starboy,The Weeknd;Daft Punk,Starboy Radio
Creepin' (with The Weeknd & 21 Savage),Metro Boomin;The Weeknd;21 Savage,Starboy Radio
Lost in the Fire (feat. The Weeknd),Gesaffelstein;The Weeknd,Starboy Radio
Moth To A Flame (with The Weeknd),Swedish House Mafia;The Weeknd,Starboy Radio
Love Me Harder,Ariana Grande;The Weeknd,Starboy Radio
Blinding Lights,The Weeknd,Starboy Radio
You Right,Doja Cat;The Weeknd,Starboy Radio
Low Life (feat. The Weeknd),Future;The Weeknd,Starboy Radio
One Dance,Drake;Wizkid;Kyla,Starboy Radio
I Wanna Be Yours,Arctic Monkeys,Starboy Radio
Die For You,The Weeknd,Starboy Radio
One Right Now (with The Weeknd),Post Malone;The Weeknd,Starboy Radio
"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar;SZA,Starboy Radio
Let Me Love You,DJ Snake;Justin Bieber,Starboy Radio
Sweater Weather,The Neighbourhood,Starboy Radio
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd;JENNIE;Lily-Rose Depp,Starboy Radio
Attention,Charlie Puth,Starboy Radio
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone;Swae Lee,Starboy Radio
Sorry,Justin Bieber,Starboy Radio
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",Ty Dolla $ign;The Weeknd;Wiz Khalifa;Mustard,Starboy Radio
The Hills,The Weeknd,Starboy Radio
As It Was,Harry Styles,Starboy Radio
Unforgettable,French Montana;Swae Lee,Starboy Radio
rockstar (feat. 21 Savage),Post Malone;21 Savage,Starboy Radio
Side To Side,Ariana Grande;Nicki Minaj,Starboy Radio
I Feel It Coming,The Weeknd;Daft Punk,Starboy Radio
Under The Influence,Chris Brown,Starboy Radio
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth;Selena Gomez,Starboy Radio
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk;Pharrell Williams;Nile Rodgers,Starboy Radio
Swim,Chase Atlantic,Starboy Radio
Can't Feel My Face,The Weeknd,Starboy Radio
Hotline Bling,Drake,Starboy Radio
7 rings,Ariana Grande,Starboy Radio
New Rules,Dua Lipa,Starboy Radio
That's What I Like,Bruno Mars,Starboy Radio
After Hours,The Weeknd,Starboy Radio
STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,Starboy Radio
Señorita,Shawn Mendes;Camila Cabello,Starboy Radio
Die With A Smile,Lady Gaga;Bruno Mars,Starboy Radio
Summertime Sadness,Lana Del Rey,Starboy Radio
Call Out My Name,The Weeknd,Starboy Radio
goosebumps,Travis Scott,Starboy Radio
Circles,Post Malone,Starboy Radio
BIRDS OF A FEATHER,Billie Eilish,Starboy Radio
There's Nothing Holdin' Me Back,Shawn Mendes,Starboy Radio
Save Your Tears,The Weeknd,Starboy Radio
Softcore,The Neighbourhood,Starboy Radio
Heat Waves,Glass Animals,Starboy Radio
Havana (feat. Young Thug),Camila Cabello;Young Thug,Starboy Radio
God's Plan,Drake,Starboy Radio
Rolling in the Deep,Adele,Rolling in the Deep Radio
Locked out of Heaven,Bruno Mars,Rolling in the Deep Radio
Just Give Me a Reason (feat. Nate Ruess),P!nk;Nate Ruess,Rolling in the Deep Radio
Roar,Katy Perry,Rolling in the Deep Radio
Counting Stars,OneRepublic,Rolling in the Deep Radio
Set Fire to the Rain,Adele,Rolling in the Deep Radio
Stay With Me,Sam Smith,Rolling in the Deep Radio
Just the Way You Are,Bruno Mars,Rolling in the Deep Radio
Viva La Vida,Coldplay,Rolling in the Deep Radio
Firework,Katy Perry,Rolling in the Deep Radio
Hello,Adele,Rolling in the Deep Radio
All of Me,John Legend,Rolling in the Deep Radio
I'm Not The Only One,Sam Smith,Rolling in the Deep Radio
Grenade,Bruno Mars,Rolling in the Deep Radio
Paradise,Coldplay,Rolling in the Deep Radio
Someone Like You,Adele,Rolling in the Deep Radio
Dark Horse,Katy Perry;Juicy J,Rolling in the Deep Radio
Photograph,Ed Sheeran,Rolling in the Deep Radio
Uptown Funk (feat. Bruno Mars),Mark Ronson;Bruno Mars,Rolling in the Deep Radio
The Lazy Song,Bruno Mars,Rolling in the Deep Radio
Send My Love (To Your New Lover),Adele,Rolling in the Deep Radio
Umbrella,Rihanna;JAY-Z,Rolling in the Deep Radio
Take Me To Church,Hozier,Rolling in the Deep Radio
Let Her Go,Passenger,Rolling in the Deep Radio
Girl on Fire,Alicia Keys,Rolling in the Deep Radio
Skyfall,Adele,Rolling in the Deep Radio
Thinking out Loud,Ed Sheeran,Rolling in the Deep Radio
Stay,Rihanna;Mikky Ekko,Rolling in the Deep Radio
Poker Face,Lady Gaga,Rolling in the Deep Radio
Sugar,Maroon 5,Rolling in the Deep Radio
When We Were Young,Adele,Rolling in the Deep Radio
Hot N Cold,Katy Perry,Rolling in the Deep Radio
Marry You,Bruno Mars,Rolling in the Deep Radio
We Found Love,Rihanna;Calvin Harris,Rolling in the Deep Radio
Bad Romance,Lady Gaga,Rolling in the Deep Radio
Rumour Has It,Adele,Rolling in the Deep Radio
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5;Christina Aguilera,Rolling in the Deep Radio
Summertime Sadness,Lana Del Rey,Rolling in the Deep Radio
Wake Me Up,Avicii,Rolling in the Deep Radio
Love On The Brain,Rihanna,Rolling in the Deep Radio
Easy On Me,Adele,Rolling in the Deep Radio
Hymn for the Weekend,Coldplay,Rolling in the Deep Radio
Stitches,Shawn Mendes,Rolling in the Deep Radio
Try,P!nk,Rolling in the Deep Radio
Die With A Smile,Lady Gaga;Bruno Mars,Rolling in the Deep Radio
Love In The Dark,Adele,Rolling in the Deep Radio
Maps,Maroon 5,Rolling in the Deep Radio
Only Love Can Hurt Like This,Paloma Faith,Rolling in the Deep Radio
The One That Got Away,Katy Perry,Rolling in the Deep Radio
All About That Bass,Meghan Trainor,Rolling in the Deep Radio
Airplanes (feat. Hayley Williams of Paramore),B.o.B;Hayley Williams,Airplanes Radio
Price Tag,Jessie J;B.o.B,Airplanes Radio
DJ Got Us Fallin' In Love (feat. Pitbull),USHER;Pitbull,Airplanes Radio
Whatcha Say,Jason Derulo,Airplanes Radio
Just A Dream,Nelly,Airplanes Radio
So Good,B.o.B,Airplanes Radio
Stereo Hearts (feat. Adam Levine),Gym Class Heroes;Adam Levine,Airplanes Radio
"Hey, Soul Sister",Train,Airplanes Radio
Apologize,Timbaland;OneRepublic,Airplanes Radio
Ridin' Solo,Jason Derulo,Airplanes Radio
Magic (feat. Rivers Cuomo),B.o.B;Rivers Cuomo,Airplanes Radio
Last Friday Night (T.G.I.F.),Katy Perry,Airplanes Radio
Am I Wrong,Nico & Vinz,Airplanes Radio
Love The Way You Lie,Eminem;Rihanna,Airplanes Radio
Without You (feat. Usher),David Guetta;USHER,Airplanes Radio
In My Head,Jason Derulo,Airplanes Radio
Nothin' on You (feat. Bruno Mars),B.o.B;Bruno Mars,Airplanes Radio
Live Your Life,T.I.;Rihanna,Airplanes Radio
Fireflies,Owl City,Airplanes Radio
Just Can’t Get Enough,Black Eyed Peas,Airplanes Radio
Kiss Me Thru The Phone,Soulja Boy;Sammie,Airplanes Radio
Trumpets,Jason Derulo,Airplanes Radio
"Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",B.o.B;Eminem;Hayley Williams,Airplanes Radio
Some Nights,fun.,Airplanes Radio
Teenage Dream,Katy Perry,Airplanes Radio
Drive By,Train,Airplanes Radio
Glad You Came,The Wanted,Airplanes Radio
It Girl,Jason Derulo,Airplanes Radio
Good Time,Owl City;Carly Rae Jepsen,Airplanes Radio
Umbrella,Rihanna;JAY-Z,Airplanes Radio
Classic,MKTO,Airplanes Radio
The Monster,Eminem;Rihanna,Airplanes Radio
California Gurls,Katy Perry;Snoop Dogg,Airplanes Radio
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd;Hayley Williams,Airplanes Radio
Billionaire (feat. Bruno Mars),Travie McCoy;Bruno Mars,Airplanes Radio
Ass Back Home (feat. Neon Hitch),Gym Class Heroes;Neon Hitch,Airplanes Radio
Whatever You Like,T.I.,Airplanes Radio
Domino,Jessie J,Airplanes Radio
Counting Stars,OneRepublic,Airplanes Radio
One More Night,Maroon 5,Airplanes Radio
Die Young,Kesha,Airplanes Radio
Coming Home,Diddy - Dirty Money;Skylar Grey,Airplanes Radio
Dead And Gone,T.I.;Justin Timberlake,Airplanes Radio
Give Me Everything (feat. Nayer),Pitbull;AFROJACK;Ne-Yo;Nayer,Airplanes Radio
Hot N Cold,Katy Perry,Airplanes Radio
Animals,Maroon 5,Airplanes Radio
Hall of Fame (feat. will.i.am),The Script;will.i.am,Airplanes Radio
Raise Your Glass,P!nk,Airplanes Radio
If We Ever Meet Again (Featuring Katy Perry),Timbaland;Katy Perry,Airplanes Radio
I Gotta Feeling,Black Eyed Peas,Airplanes Radio
That's What I Like,Bruno Mars,That’s What I Like Radio
Please Me,Cardi B;Bruno Mars,That’s What I Like Radio
Die With A Smile,Lady Gaga;Bruno Mars,That’s What I Like Radio
Uptown Funk (feat. Bruno Mars),Mark Ronson;Bruno Mars,That’s What I Like Radio
Nothin' on You (feat. Bruno Mars),B.o.B;Bruno Mars,That’s What I Like Radio
Treasure,Bruno Mars,That’s What I Like Radio
Billionaire (feat. Bruno Mars),Travie McCoy;Bruno Mars,That’s What I Like Radio
Attention,Charlie Puth,That’s What I Like Radio
Sorry,Justin Bieber,That’s What I Like Radio
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg;Wiz Khalifa;Bruno Mars,That’s What I Like Radio
24K Magic,Bruno Mars,That’s What I Like Radio
There's Nothing Holdin' Me Back,Shawn Mendes,That’s What I Like Radio
Shape of You,Ed Sheeran,That’s What I Like Radio
Wake Up in the Sky,Gucci Mane;Bruno Mars;Kodak Black,That’s What I Like Radio
Love Yourself,Justin Bieber,That’s What I Like Radio
Leave The Door Open,Bruno Mars;Anderson .Paak;Silk Sonic,That’s What I Like Radio
Closer,The Chainsmokers;Halsey,That’s What I Like Radio
Treat You Better,Shawn Mendes,That’s What I Like Radio
Sugar,Maroon 5,That’s What I Like Radio
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris;Pharrell Williams;Katy Perry;Big Sean;Funk Wav,That’s What I Like Radio
The Lazy Song,Bruno Mars,That’s What I Like Radio
Nothing on You,B.o.B;Bruno Mars,That’s What I Like Radio
Baby,Justin Bieber;Ludacris,That’s What I Like Radio
Best Part (feat. H.E.R.),Daniel Caesar;H.E.R.,That’s What I Like Radio
Señorita,Shawn Mendes;Camila Cabello,That’s What I Like Radio
Finesse,Bruno Mars,That’s What I Like Radio
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth;Selena Gomez,That’s What I Like Radio
Die For You,The Weeknd,That’s What I Like Radio
Confident - Single Version,Justin Bieber;Chance the Rapper,That’s What I Like Radio
I Like Me Better,Lauv,That’s What I Like Radio
Locked out of Heaven,Bruno Mars,That’s What I Like Radio
Don't Wanna Know,Maroon 5;Kendrick Lamar,That’s What I Like Radio
How Long,Charlie Puth,That’s What I Like Radio
"thank u, next",Ariana Grande,That’s What I Like Radio
What Do You Mean?,Justin Bieber,That’s What I Like Radio
Versace on the Floor,Bruno Mars,That’s What I Like Radio
Snooze,SZA,That’s What I Like Radio
Thinking out Loud,Ed Sheeran,That’s What I Like Radio
Stitches,Shawn Mendes,That’s What I Like Radio
Let Me Love You,DJ Snake;Justin Bieber,That’s What I Like Radio
Finesse - Remix; feat. Cardi B,Bruno Mars;Cardi B,That’s What I Like Radio
Payphone,Maroon 5;Wiz Khalifa,That’s What I Like Radio
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,That’s What I Like Radio
What Makes You Beautiful,One Direction,That’s What I Like Radio
Kiss Me More (feat. SZA),Doja Cat;SZA,That’s What I Like Radio
When I Was Your Man,Bruno Mars,That’s What I Like Radio
Work,Rihanna;Drake,That’s What I Like Radio
What Lovers Do,Maroon 5;SZA,That’s What I Like Radio
I'm Not The Only One,Sam Smith,That’s What I Like Radio
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone;Swae Lee,That’s What I Like Radio
Eastside (with Halsey & Khalid),benny blanco;Halsey;Khalid,Eastside Radio
Without Me,Halsey,Eastside Radio
Better,Khalid,Eastside Radio
Beautiful People (feat. Khalid),Ed Sheeran;Khalid,Eastside Radio
Ocean (feat. Khalid),Martin Garrix;Khalid,Eastside Radio
Dancing With A Stranger (with Normani),Sam Smith;Normani,Eastside Radio
Youngblood,5 Seconds of Summer,Eastside Radio
Bad At Love,Halsey,Eastside Radio
Love Lies,Khalid;Normani,Eastside Radio
Youth (feat. Khalid),Shawn Mendes;Khalid,Eastside Radio
lovely (with Khalid),Billie Eilish;Khalid,Eastside Radio
Circles,Post Malone,Eastside Radio
Closer,The Chainsmokers;Halsey,Eastside Radio
Graveyard,Halsey,Eastside Radio
Young Dumb & Broke,Khalid,Eastside Radio
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Eastside Radio
The Middle,Zedd;Maren Morris;Grey,Eastside Radio
Issues,Julia Michaels,Eastside Radio
Electric (feat. Khalid),Alina Baraz;Khalid,Eastside Radio
Now Or Never,Halsey,Eastside Radio
Saturday Nights,Khalid,Eastside Radio
Eastside (with Halsey & Khalid) - Acoustic,benny blanco;Halsey;Khalid,Eastside Radio
Silence,Marshmello;Khalid,Eastside Radio
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone;Swae Lee,Eastside Radio
PILLOWTALK,ZAYN,Eastside Radio
You should be sad,Halsey,Eastside Radio
Talk (feat. Disclosure),Khalid;Disclosure,Eastside Radio
Happy Now,Zedd;Elley Duhé,Eastside Radio
Starving,Hailee Steinfeld;Grey;Zedd,Eastside Radio
Be Alright,Dean Lewis,Eastside Radio
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN;Taylor Swift,Eastside Radio
Alone - Bonus Track,Halsey;Big Sean;Stefflon Don,Eastside Radio
8TEEN,Khalid,Eastside Radio
Hate Me,Ellie Goulding;Juice WRLD,Eastside Radio
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld;Alesso;Florida Georgia Line;WATT,Eastside Radio
Ruin My Life,Zara Larsson,Eastside Radio
Lonely (with benny blanco),Justin Bieber;benny blanco,Eastside Radio
11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD;Halsey;Travis Barker,Eastside Radio
Location,Khalid,Eastside Radio
If I Can't Have You,Shawn Mendes,Eastside Radio
Slow Hands,Niall Horan,Eastside Radio
Be Like That - feat. Swae Lee & Khalid,Kane Brown;Swae Lee;Khalid,Eastside Radio
you broke me first,Tate McRae,Eastside Radio
Love Yourself,Justin Bieber,Eastside Radio
Suncity (feat. Empress Of),Khalid;Empress Of,Eastside Radio
"i hate u, i love u (feat. olivia o'brien)",gnash;Olivia O'Brien,Eastside Radio
Floating (feat. Khalid),Alina Baraz;Khalid,Eastside Radio
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental;Jess Glynne;Macklemore;Dan Caplen,Eastside Radio
Sucker,Jonas Brothers,Eastside Radio
There's Nothing Holdin' Me Back,Shawn Mendes,Eastside Radio
No Role Modelz,J. Cole,No Role Modelz Radio
XO Tour Llif3,Lil Uzi Vert,No Role Modelz Radio
Bound 2,Kanye West,No Role Modelz Radio
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky;Rod Stewart;Miguel;Mark Ronson,No Role Modelz Radio
Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville;J. Cole;Lute;DaBaby,No Role Modelz Radio
Work Out,J. Cole,No Role Modelz Radio
Drip Too Hard (Lil Baby & Gunna),Lil Baby;Gunna,No Role Modelz Radio
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie;Kodak Black,No Role Modelz Radio
Heartless,Kanye West,No Role Modelz Radio
Congratulations,Post Malone;Quavo,No Role Modelz Radio
Wet Dreamz,J. Cole,No Role Modelz Radio
Mask Off,Future,No Role Modelz Radio
20 Min,Lil Uzi Vert,No Role Modelz Radio
This Could Be Us,Rae Sremmurd,No Role Modelz Radio
Flashing Lights,Kanye West;Dwele,No Role Modelz Radio
MIDDLE CHILD,J. Cole,No Role Modelz Radio
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky;Skepta,No Role Modelz Radio
Solo,Future,No Role Modelz Radio
Trap Queen,Fetty Wap,No Role Modelz Radio
Pretty Little Fears (feat. J. Cole),6LACK;J. Cole,No Role Modelz Radio
Love Yourz,J. Cole,No Role Modelz Radio
Father Stretch My Hands Pt. 1,Kanye West,No Role Modelz Radio
Day 'N' Nite (Nightmare),Kid Cudi,No Role Modelz Radio
Low Life (feat. The Weeknd),Future;The Weeknd,No Role Modelz Radio
CARNIVAL,¥$;Kanye West;Ty Dolla $ign,No Role Modelz Radio
Power Trip (feat. Miguel),J. Cole;Miguel,No Role Modelz Radio
The Box,Roddy Ricch,No Role Modelz Radio
Can't Tell Me Nothing,Kanye West,No Role Modelz Radio
fukumean,Gunna,No Role Modelz Radio
Wake Up in the Sky,Gucci Mane;Bruno Mars;Kodak Black,No Role Modelz Radio
G.O.M.D,J. Cole,No Role Modelz Radio
Look Back at It,A Boogie Wit da Hoodie,No Role Modelz Radio
The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert;Oh Wonder,No Role Modelz Radio
Violent Crimes,Kanye West,No Role Modelz Radio
Freestyle,Lil Baby,No Role Modelz Radio
She Knows (feat. Amber Coffman & Cults),J. Cole;Cults;Amber Coffman,No Role Modelz Radio
For The Night (feat. Lil Baby & DaBaby),Pop Smoke;Lil Baby;DaBaby,No Role Modelz Radio
Tyler Herro,Jack Harlow,No Role Modelz Radio
Hate It Or Love It,The Game;50 Cent,No Role Modelz Radio
All Falls Down,Kanye West;Syleena Johnson,No Role Modelz Radio
Deja Vu,J. Cole,No Role Modelz Radio
Don't,Bryson Tiller,No Role Modelz Radio
Sundress,A$AP Rocky,No Role Modelz Radio
Pure Cocaine,Lil Baby,No Role Modelz Radio
Break from Toronto,PARTYNEXTDOOR,No Role Modelz Radio
Apparently,J. Cole,No Role Modelz Radio
I Wonder,Kanye West,No Role Modelz Radio
Bad and Boujee (feat. Lil Uzi Vert),Migos;Lil Uzi Vert,No Role Modelz Radio
3005,Childish Gambino,No Role Modelz Radio
PUFFIN ON ZOOTIEZ,Future,No Role Modelz Radio
Borderline,Tame Impala,Borderline Radio
Walking On A Dream,Empire Of The Sun,Borderline Radio
Neverender,Justice;Tame Impala,Borderline Radio
Electric Feel,MGMT,Borderline Radio
Chamber Of Reflection,Mac DeMarco,Borderline Radio
The Less I Know The Better,Tame Impala,Borderline Radio
Dark Red,Steve Lacy,Borderline Radio
We Are The People,Empire Of The Sun,Borderline Radio
Space Song,Beach House,Borderline Radio
Time To Pretend,MGMT,Borderline Radio
Feels Like We Only Go Backwards,Tame Impala,Borderline Radio
Freaking Out the Neighborhood,Mac DeMarco,Borderline Radio
Bad Habit,Steve Lacy,Borderline Radio
The Adults Are Talking,The Strokes,Borderline Radio
Midnight City,M83,Borderline Radio
Let It Happen,Tame Impala,Borderline Radio
Kids,MGMT,Borderline Radio
Can I Call You Tonight?,Dayglow,Borderline Radio
Electric Love,BØRNS,Borderline Radio
Show Me How,Men I Trust,Borderline Radio
Is It True,Tame Impala,Borderline Radio
The Look,Metronomy,Borderline Radio
Little Dark Age,MGMT,Borderline Radio
For the First Time,Mac DeMarco,Borderline Radio
End of Beginning,Djo,Borderline Radio
"New Person, Same Old Mistakes",Tame Impala,Borderline Radio
What Once Was,Her's,Borderline Radio
Brazil,Declan McKenna,Borderline Radio
Lovers Rock,TV Girl,Borderline Radio
My Kind of Woman,Mac DeMarco,Borderline Radio
One More Hour,Tame Impala,Borderline Radio
Young Folks,Peter Bjorn and John,Borderline Radio
Shut up My Moms Calling,Hotel Ugly,Borderline Radio
Sweater Weather,The Neighbourhood,Borderline Radio
Money,The Drums,Borderline Radio
Eventually,Tame Impala,Borderline Radio
Someday,The Strokes,Borderline Radio
Redbone,Childish Gambino,Borderline Radio
Wait a Minute!,WILLOW,Borderline Radio
Instant Crush (feat. Julian Casablancas),Daft Punk;Julian Casablancas,Borderline Radio
Lost In Yesterday,Tame Impala,Borderline Radio
Funny Thing,Thundercat,Borderline Radio
Sweet Disposition,The Temper Trap,Borderline Radio
Breezeblocks,alt-J,Borderline Radio
505,Arctic Monkeys,Borderline Radio
Yes I'm Changing,Tame Impala,Borderline Radio
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Kali Uchis;Tyler, The Creator;Bootsy Collins",Borderline Radio
Freaks,Surf Curse,Borderline Radio
Alive,Empire Of The Sun,Borderline Radio
See You Again (feat. Kali Uchis),"Tyler, The Creator;Kali Uchis",Borderline Radio
